id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1957,Vast Haze,Heavy Strings,ambient,relaxed,0.13,51,0.82,0.23,0.87
1958,Still Journal,Paper Wave,lofi,nostalgic,0.27,90,0.68,0.68,0.73
1959,Electric Wave,Mellow Sky,synthwave,nostalgic,0.91,88,0.5,0.68,0.2
1960,Summer Festival,Mosaic Rhythm,pop,nostalgic,0.91,120,0.8,0.9,0.03
1961,Concrete Game,Stone Creek,hip-hop,angry,0.84,110,0.66,0.88,0.17
1962,Solemn Elegy,Copper Moon,classical,melancholic,0.08,97,0.79,0.37,0.81
1963,Urban Motion,Spinning Rain,hip-hop,moody,0.75,113,0.81,0.92,0.09
1964,Grind Bridge,Crimson Collective,hip-hop,angry,0.87,88,0.78,0.97,0.15
1965,Maximum Modulation,Free Sound,edm,confident,0.94,121,0.85,0.9,0.02
1966,Summer Star,Blazing Frequency,pop,joyful,0.75,105,0.64,0.74,0.13
1967,Gentle Mazurka,New Light,classical,romantic,0.29,83,0.86,0.27,0.98
1968,Deep Tone,Drift Snow,r&b,happy,0.73,74,0.6,0.89,0.48
1969,Sweet Sun,Paper Sun,reggae,happy,0.46,77,0.73,0.65,0.5
1970,Supreme Kick,Calm Pond,edm,intense,0.89,144,0.73,0.85,0.08
1971,Forever Magic,New Mist,r&b,moody,0.47,80,0.75,0.71,0.42
1972,Thunder Tower,Stone Shadow,rock,angry,0.75,162,0.63,0.74,0.03
1973,Midnight Night,Cobalt Fire,blues,relaxed,0.3,96,0.22,0.67,0.78
1974,Positive Peace,Dim Shadow,reggae,relaxed,0.65,86,0.85,0.7,0.65
1975,Mega Override,Crimson Sky,edm,euphoric,0.99,140,0.79,0.92,0.05
1976,Bold Day,Worn Division,pop,happy,0.75,136,0.65,0.79,0.14
1977,Smooth Glory,Shining Voltage,soul,nostalgic,0.62,79,0.64,0.67,0.67
1978,Ultra Synthesis,Golden Spark,edm,confident,0.86,156,0.78,0.85,0.09
1979,Live Architecture,Lost Brass,hip-hop,confident,0.69,83,0.65,0.83,0.19
1980,Fierce Thunder,Dawn Assembly,rock,angry,0.83,120,0.48,0.6,0.25
1981,Blinding Corridor,Cool Chorus,rock,moody,0.77,136,0.63,0.58,0.1
1982,Broken Manifesto,Soaring Surge,rock,moody,0.8,160,0.33,0.54,0.08
1983,Pretty Memory,Chrome Sun,indie pop,melancholic,0.68,110,0.66,0.68,0.2
1984,Falling Redemption,Mellow Engine,soul,happy,0.55,64,0.87,0.57,0.7
1985,Cool Improvisation,Ember Institute,jazz,nostalgic,0.38,91,0.48,0.61,0.81
1986,Late Study,Pulse Brass,lofi,nostalgic,0.4,88,0.48,0.39,0.92
1987,Blue Sky,Drifting Forest,country,romantic,0.61,122,0.75,0.79,0.56
1988,Peak Explosion,Shifting Reef,edm,confident,0.86,162,0.84,0.89,0.04
1989,Infrared Frequency,Raw Glow,synthwave,euphoric,0.68,119,0.41,0.75,0.05
1990,Wild Fire,Coral Fog,pop,nostalgic,0.78,132,0.83,0.94,0.33
1991,Crashing Fire,Bright Keys,rock,angry,0.89,146,0.67,0.59,0.26
1992,Pure Thought,Stone Ocean,indie pop,romantic,0.8,105,0.71,0.8,0.23
1993,Brutal Gate,Indigo Beacon,metal,confident,0.88,137,0.17,0.54,0.07
1994,Endless Wind,Bold Brook,ambient,nostalgic,0.09,66,0.65,0.42,0.73
1995,Electric Modulation,Light Project,synthwave,moody,0.69,95,0.56,0.72,0.15
1996,Block Beat,Changing Lake,hip-hop,intense,0.87,105,0.84,0.72,0.19
1997,Red Rain,Rising Cloud,country,nostalgic,0.67,87,0.6,0.58,0.72
1998,Sleepy Page,Bound Sea,lofi,relaxed,0.26,78,0.52,0.46,0.76
1999,Fresh Festival,Crimson Lake,pop,happy,0.63,118,0.64,0.69,0.1
2000,Blurred Illusion,Amber Shade,dream pop,moody,0.52,96,0.73,0.47,0.48
2001,Asphalt Motion,Lost System,hip-hop,joyful,0.81,89,0.58,0.93,0.03
2002,Foggy Corridor,Soft River,lofi,relaxed,0.43,76,0.56,0.46,0.83
2003,Raging Hammer,Young Brook,metal,confident,0.88,158,0.38,0.39,0.04
2004,Empty Longing,Rising Archive,blues,melancholic,0.48,88,0.52,0.49,0.68
2005,Warm Fog,Burning Snow,lofi,melancholic,0.22,73,0.5,0.56,0.74
2006,Graceful Nocturne,Drifting Agency,classical,romantic,0.1,53,0.72,0.31,0.98
2007,Mountain Track,Stone Brass,country,joyful,0.53,96,0.58,0.62,0.55
2008,Concrete Code,Broken Brook,hip-hop,happy,0.62,85,0.63,0.77,0.05
2009,Vibrant Memory,Calm Division,indie pop,romantic,0.76,121,0.6,0.8,0.26
2010,Appalachian Track,Lunar Project,country,melancholic,0.6,82,0.71,0.63,0.76
2011,Linen Notepad,Mosaic Lake,lofi,nostalgic,0.47,75,0.73,0.55,0.87
2012,Creek Dream,Silver Initiative,country,happy,0.71,101,0.75,0.79,0.55
2013,Tender Transformation,Wild Circuit,soul,romantic,0.57,87,0.8,0.81,0.77
2014,Eternal Expanse,Spinning Pulse,ambient,chill,0.16,58,0.66,0.38,0.95
2015,Lovely Afternoon,Fast Sea,indie pop,joyful,0.75,114,0.91,0.63,0.26
2016,Void Reckoning,Warm Wind,metal,angry,0.97,142,0.18,0.35,0.01
2017,Fading Membrane,Lunar Beacon,ambient,nostalgic,0.11,53,0.56,0.39,0.97
2018,Serene Reverie,Static Static,classical,peaceful,0.35,85,0.65,0.14,0.85
2019,Serene Symphony,Velvet Initiative,classical,romantic,0.38,74,0.5,0.16,0.85
2020,Worn Wail,Coral Roots,blues,relaxed,0.5,75,0.2,0.55,0.67
2021,Grand Hymn,Turning Collective,classical,romantic,0.14,89,0.87,0.36,0.91
2022,Hard Freestyle,Ash Forest,hip-hop,joyful,0.9,85,0.5,0.72,0.19
2023,Hard Heritage,Crimson Mountain,hip-hop,intense,0.89,79,0.44,0.8,0.13
2024,Resonant Frequency,Radiant Sound,ambient,melancholic,0.07,70,0.6,0.35,0.73
2025,Blue Waltz,Dawn Cloud,jazz,nostalgic,0.57,74,0.7,0.47,0.94
2026,Worn Nook,Pale Storm,lofi,chill,0.24,89,0.49,0.49,0.88
2027,Rainy Attic,Radiant Archive,lofi,melancholic,0.25,60,0.63,0.44,0.65
2028,Heavy Frequency,Free Light,hip-hop,moody,0.79,80,0.71,0.85,0.06
2029,Still Corridor,Drifting Beat,lofi,melancholic,0.48,89,0.44,0.44,0.89
2030,Wild Edge,Heavy Harmony,rock,confident,0.78,121,0.71,0.47,0.08
2031,Boost Force,Prism Flame,edm,happy,0.82,145,0.63,0.87,0.03
2032,Serene Etude,Turning Syndicate,classical,peaceful,0.33,79,0.77,0.23,0.96
2033,Binary City,Zenith Bureau,synthwave,nostalgic,0.71,126,0.49,0.63,0.3
2034,Rising Flame,Burning Shore,soul,moody,0.64,106,0.69,0.81,0.64
2035,Lyrical Polonaise,Soaring Spark,classical,focused,0.31,54,0.62,0.14,0.82
2036,Pale Tide,Static Mist,ambient,nostalgic,0.34,63,0.71,0.4,0.95
2037,Dreaming Elegy,Sharp Reef,classical,romantic,0.13,99,0.62,0.12,0.8
2038,Simple World,Heavy Melody,indie pop,happy,0.69,106,0.72,0.77,0.57
2039,Glacial Field,Raw Flow,ambient,nostalgic,0.33,53,0.45,0.24,0.73
2040,Vivid Weekend,Smoke Network,indie pop,melancholic,0.74,104,0.84,0.87,0.28
2041,Morning Fantasia,Wild Wind,classical,peaceful,0.3,55,0.55,0.39,0.88
2042,Peaceful Waltz,Silent Collective,classical,peaceful,0.15,61,0.54,0.32,0.93
2043,Quiet Waltz,Neon Frequency,jazz,moody,0.27,71,0.47,0.58,0.7
2044,Supersonic Amplitude,Heavy Noise,edm,confident,0.82,120,0.62,0.9,0.08
2045,Broken Rebellion,Neon Bloom,rock,intense,0.82,166,0.59,0.47,0.08
2046,Rich Transformation,Shifting Machine,soul,joyful,0.52,96,0.77,0.74,0.62
2047,Void Abyss,Indigo Ensemble,metal,intense,0.92,152,0.24,0.37,0.01
2048,Simple Feeling,Dusk Mist,indie pop,happy,0.84,107,0.9,0.59,0.2
2049,Hollow Fist,Frozen Network,rock,confident,0.9,139,0.47,0.69,0.27
2050,Mega Kick,Orbit Division,edm,intense,0.95,162,0.62,0.87,0.04
2051,Broken Porch,Wide Drift,blues,relaxed,0.34,92,0.4,0.41,0.81
2052,Flowing Fantasia,Loud Candle,classical,peaceful,0.11,57,0.57,0.29,0.8
2053,Tender Session,Soaring Lake,jazz,moody,0.65,111,0.55,0.56,0.92
2054,Drop Drive,Smoke Candle,edm,euphoric,0.9,152,0.93,0.89,0.07
2055,Dim Suite,Chrome Division,jazz,moody,0.44,80,0.86,0.48,0.95
2056,Midnight Journal,Cobalt Window,lofi,nostalgic,0.25,93,0.73,0.57,0.73
2057,Dissolving Membrane,Amber Institute,ambient,chill,0.31,65,0.56,0.15,0.89
2058,Iron Damnation,Drift Roots,metal,intense,0.93,150,0.12,0.51,0.01
2059,Thunder Cage,Found Candle,rock,moody,0.74,123,0.58,0.69,0.07
2060,Cool Phrase,Amber Shadow,jazz,relaxed,0.32,111,0.84,0.73,0.86
2061,Velvet Corner,Soft Calm,lofi,focused,0.54,74,0.51,0.63,0.94
2062,Atomic Frenzy,Silent Fog,edm,joyful,0.99,160,0.72,0.96,0.01
2063,Hollow Cage,Neon Flame,rock,moody,0.91,158,0.71,0.77,0.1
2064,Sultry Melody,Copper Collective,jazz,nostalgic,0.3,96,0.68,0.46,0.72
2065,Dissolving Void,Heavy Syndicate,ambient,chill,0.19,45,0.62,0.41,0.9
2066,Burning Perdition,Sinking Sky,metal,angry,0.97,153,0.44,0.7,0.06
2067,Delicate Apparition,Lost Rhythm,dream pop,moody,0.44,101,0.76,0.64,0.54
2068,Hustle Code,Drift Star,hip-hop,confident,0.89,95,0.64,0.85,0.08
2069,Late Melody,Paper Rhythm,jazz,moody,0.4,89,0.76,0.71,0.87
2070,Velvet Night,Cobalt Shade,jazz,confident,0.45,86,0.71,0.66,0.67
2071,Twilight Tarantella,Mosaic Bloom,classical,romantic,0.37,75,0.8,0.29,0.82
2072,Deep Tide,Worn Candle,ambient,melancholic,0.15,72,0.51,0.21,0.9
2073,Prime Frenzy,Spinning Fire,edm,confident,0.9,157,0.9,0.9,0.1
2074,Chaos Tribulation,Lunar Shadow,metal,angry,0.96,138,0.16,0.41,0.08
2075,Hyper Frenzy,Dusk Drift,edm,euphoric,0.93,123,0.73,0.94,0.06
2076,Dim Loop,Floating Assembly,lofi,nostalgic,0.35,61,0.47,0.4,0.85
2077,Nebular Shore,Indigo River,ambient,relaxed,0.08,45,0.5,0.43,0.84
2078,Resonant Perimeter,Changing Ocean,ambient,nostalgic,0.33,71,0.44,0.38,0.95
2079,Steel Reckoning,Chrome Agency,metal,confident,0.94,184,0.45,0.62,0.03
2080,Atomic Synthesis,Worn Glow,edm,intense,0.98,160,0.66,0.84,0.05
2081,Slow Trouble,Static Initiative,blues,melancholic,0.21,66,0.38,0.56,0.9
2082,Breezy Heart,Warm Lantern,indie pop,joyful,0.73,95,0.82,0.71,0.56
2083,Distant Current,Fast Foundation,ambient,nostalgic,0.1,75,0.81,0.19,0.95
2084,Chaos Mayhem,Raw Desert,metal,confident,0.88,157,0.39,0.36,0.08
2085,Still Space,Rising Collective,ambient,nostalgic,0.18,67,0.61,0.45,0.73
2086,Cathode Flux,Melting Flow,synthwave,nostalgic,0.85,94,0.44,0.71,0.08
2087,Eternal Frequency,Fast Spark,ambient,melancholic,0.15,75,0.43,0.4,0.9
2088,Silk Forever,Dim Foundation,r&b,romantic,0.5,89,0.81,0.9,0.62
2089,Hollow Sky,Shifting Valley,rock,moody,0.95,127,0.41,0.42,0.26
2090,Real Cadence,Haze Coalition,hip-hop,intense,0.87,86,0.54,0.78,0.17
2091,Submerged Drift,Bound Lantern,ambient,relaxed,0.24,63,0.62,0.21,0.72
2092,Floating Ether,Midnight Light,ambient,chill,0.1,49,0.57,0.37,0.92
2093,Merciless Wall,Deep Collective,metal,angry,0.88,175,0.4,0.44,0.05
2094,Iron Current,Lunar Desert,rock,confident,0.96,144,0.35,0.78,0.15
2095,Sweet Peace,Fast Shade,reggae,relaxed,0.66,73,0.74,0.86,0.78
2096,Yearning Light,Broken Static,soul,moody,0.46,96,0.67,0.53,0.51
2097,Deep Club,Melting System,jazz,nostalgic,0.34,116,0.62,0.45,0.88
2098,Eternal Meditation,Gentle Sun,reggae,peaceful,0.56,68,0.8,0.77,0.41
2099,Urban Blueprint,Golden Flame,hip-hop,joyful,0.89,117,0.63,0.98,0.17
2100,Rich Light,Raw Storm,soul,nostalgic,0.71,93,0.47,0.56,0.55
2101,Crashing Wire,True Calm,rock,moody,0.89,142,0.24,0.62,0.11
2102,Wrathful Chaos,Deep Candle,metal,intense,0.88,169,0.39,0.72,0.05
2103,Peaceful Sun,Solar Wind,reggae,peaceful,0.64,75,0.83,0.67,0.75
2104,True Hustle,Turning Ensemble,hip-hop,joyful,0.78,84,0.58,0.75,0.2
2105,Timeless Redemption,Pale Sound,reggae,peaceful,0.71,67,0.92,0.79,0.79
2106,Shredding Wrath,Midnight Tower,metal,angry,0.95,185,0.23,0.44,0.01
2107,Drowsy Window,Warm Circuit,lofi,nostalgic,0.36,63,0.73,0.49,0.9
2108,Peaceful Vibes,Paper Signal,reggae,relaxed,0.54,69,0.9,0.79,0.77
2109,Naked Pain,Copper Harmony,soul,melancholic,0.48,64,0.71,0.78,0.46
2110,Simple Story,Prism Creek,indie pop,nostalgic,0.83,100,0.72,0.63,0.19
2111,Cyber Protocol,Cool Mountain,synthwave,moody,0.83,115,0.66,0.78,0.17
2112,Weightless Breath,Sharp Bridge,ambient,peaceful,0.31,55,0.67,0.31,0.75
2113,Evening Rondo,Bound Ensemble,classical,melancholic,0.08,62,0.85,0.35,0.98
2114,Gentle Notepad,Prism Drift,lofi,focused,0.47,94,0.68,0.38,0.95
2115,Majestic Impromptu,Smoke Rhythm,classical,romantic,0.44,47,0.64,0.11,0.81
2116,Soft Illusion,Orbit Wind,dream pop,nostalgic,0.68,115,0.46,0.43,0.54
2117,Underground Blueprint,Prism Harmony,hip-hop,angry,0.74,90,0.8,0.94,0.11
2118,Tempestuous Fantasia,Dawn Collective,classical,peaceful,0.31,44,0.77,0.33,0.86
2119,Sunrise Signal,Bold Archive,pop,nostalgic,0.73,136,0.7,0.84,0.07
2120,Quantum Matrix,Slow River,synthwave,nostalgic,0.88,93,0.66,0.66,0.22
2121,Overdrive Oscillation,Velvet Garden,edm,joyful,0.94,148,0.76,0.86,0.03
2122,Infrared Storm,Chrome Frequency,synthwave,euphoric,0.73,125,0.63,0.76,0.03
2123,Smoky Corner,Bright Echo,lofi,melancholic,0.47,81,0.66,0.67,0.63
2124,Neon World,Free Bridge,pop,nostalgic,0.64,109,0.89,0.94,0.3
2125,Surge Wave,Gentle Melody,edm,confident,0.91,122,0.82,0.83,0.02
2126,Live Hustle,Mosaic Echo,hip-hop,happy,0.7,80,0.44,0.93,0.2
2127,Honest Town,Silver Laboratory,country,happy,0.78,98,0.68,0.73,0.84
2128,Empty Lament,True Ensemble,blues,moody,0.49,69,0.41,0.59,0.7
2129,Hologram Zone,Smoke Window,synthwave,euphoric,0.71,86,0.65,0.61,0.19
2130,Dark Field,Wild Rhythm,blues,melancholic,0.27,93,0.18,0.6,0.87
2131,Infernal Perdition,Bold System,metal,confident,0.87,139,0.14,0.44,0.05
2132,Block Foundation,Heavy Surge,hip-hop,intense,0.74,86,0.45,0.72,0.06
2133,Autumnal Nocturne,Free Frequency,classical,romantic,0.22,52,0.71,0.15,0.88
2134,Dark Highway,Ash Static,blues,relaxed,0.25,83,0.5,0.42,0.73
2135,Clean Home,Storm Rain,indie pop,happy,0.84,101,0.81,0.84,0.34
2136,Dreamy Glow,Frozen Brass,dream pop,romantic,0.45,80,0.56,0.48,0.6
2137,Reckless Circuit,Chrome Wave,rock,confident,0.74,131,0.58,0.47,0.17
2138,Still Wind,Melting Sound,ambient,nostalgic,0.33,76,0.79,0.29,0.76
2139,Pale Shadow,Ash Foundation,dream pop,romantic,0.66,81,0.81,0.59,0.4
2140,Autumnal Tarantella,Rising Calm,classical,focused,0.43,63,0.77,0.39,0.86
2141,Broken Love,Soft Pond,soul,joyful,0.46,96,0.54,0.57,0.46
2142,Vector Night,Static Shade,synthwave,intense,0.82,128,0.46,0.72,0.04
2143,Sweet Ending,Chrome Keys,indie pop,moody,0.57,126,0.62,0.81,0.45
2144,Genuine Grace,Lunar Reef,soul,nostalgic,0.47,68,0.74,0.75,0.51
2145,District Beat,Shifting Frost,hip-hop,confident,0.88,101,0.49,0.76,0.06
2146,Falling Rhythm,Chrome Alliance,r&b,joyful,0.57,85,0.72,0.79,0.28
2147,Majestic Reverie,Solar River,classical,melancholic,0.43,71,0.85,0.13,0.91
2148,Phosphor Drive,Solar Network,synthwave,intense,0.7,130,0.52,0.64,0.14
2149,Pastoral Polonaise,Pulse Machine,classical,nostalgic,0.26,63,0.49,0.35,0.92
2150,Quiet Cafe,Bound Current,lofi,focused,0.34,70,0.59,0.44,0.67
2151,Soft Haze,Old Current,dream pop,peaceful,0.66,116,0.48,0.74,0.69
2152,Dim Verse,Frozen Pulse,jazz,romantic,0.43,95,0.51,0.64,0.76
2153,Cascading Rooftop,Hollow Cloud,pop,confident,0.7,131,0.87,0.76,0.04
2154,Wide Pickup,Mosaic Circuit,country,joyful,0.54,108,0.86,0.71,0.83
2155,Deep Flow,Wide Valley,ambient,peaceful,0.27,61,0.53,0.17,0.83
2156,Slow Groove,Frost Shadow,jazz,romantic,0.64,88,0.51,0.66,0.77
2157,Glowing Mirage,Found Flame,dream pop,peaceful,0.7,74,0.61,0.65,0.63
2158,Turbo Wave,Gentle Sun,edm,euphoric,0.89,141,0.66,0.9,0.01
2159,Crashing Collapse,Dim Archive,rock,angry,0.76,162,0.31,0.74,0.09
2160,Hollow Heart,Wild Rhythm,blues,melancholic,0.52,66,0.25,0.44,0.88
2161,Deep Frequency,Bound Harmony,hip-hop,joyful,0.81,76,0.49,0.95,0.17
2162,Breathless Magic,Ember Lantern,r&b,nostalgic,0.63,68,0.66,0.76,0.29
2163,Timeless Freedom,Amber Coalition,reggae,joyful,0.74,66,0.86,0.71,0.77
2164,Warm Dance,Mosaic River,country,melancholic,0.66,95,0.68,0.69,0.51
2165,Dancing Voltage,Bare Stone,pop,confident,0.86,101,0.73,0.92,0.25
2166,Still Drift,Heavy Lake,ambient,nostalgic,0.15,58,0.6,0.27,0.82
2167,Translucent Twilight,Open Harmony,dream pop,peaceful,0.66,80,0.7,0.55,0.4
2168,Blinding Wire,Soaring River,rock,confident,0.93,165,0.52,0.43,0.04
2169,Glowing Glow,Bound Valley,dream pop,nostalgic,0.63,91,0.58,0.65,0.57
2170,Shadow Assault,Wide Sun,metal,angry,0.9,138,0.18,0.44,0.03
2171,Rising Peace,Radiant Drift,reggae,peaceful,0.57,94,0.88,0.66,0.57
2172,Nebular Void,Prism Beacon,ambient,melancholic,0.2,75,0.78,0.35,0.92
2173,Blurry Drift,Radiant Lake,lofi,relaxed,0.44,60,0.54,0.64,0.81
2174,Hot Bounce,Sinking Reef,hip-hop,moody,0.82,108,0.75,0.98,0.02
2175,Back Memory,Bound Lantern,country,happy,0.71,109,0.58,0.71,0.71
2176,Black Rebellion,Falling Fog,rock,intense,0.83,131,0.31,0.44,0.04
2177,Hexadecimal Drive,Warm Signal,synthwave,euphoric,0.77,118,0.66,0.62,0.32
2178,Quantum Grid,Still Mirror,synthwave,intense,0.81,99,0.64,0.67,0.05
2179,Hushed Corner,Dark Archive,lofi,relaxed,0.28,95,0.5,0.39,0.86
2180,Forsaken Rain,Glass Rush,blues,melancholic,0.25,78,0.47,0.54,0.76
2181,Golden Notepad,Amber Archive,lofi,relaxed,0.49,86,0.47,0.51,0.95
2182,Wild Mind,Midnight Collective,indie pop,moody,0.78,109,0.8,0.64,0.18
2183,Dim Quartet,Open Sea,jazz,melancholic,0.62,70,0.62,0.53,0.83
2184,Midnight House,Iron Assembly,blues,melancholic,0.24,97,0.5,0.64,0.81
2185,Moonlit Coda,Cobalt Glow,jazz,relaxed,0.35,98,0.79,0.44,0.64
2186,Blue Cadenza,Pulse Frequency,jazz,relaxed,0.48,104,0.47,0.62,0.91
2187,Savage Mountain,Worn Bridge,rock,moody,0.86,159,0.66,0.53,0.1
2188,Sweet Day,Frozen Bloom,indie pop,joyful,0.56,124,0.8,0.87,0.56
2189,Cathode Nexus,Cobalt Stone,synthwave,intense,0.75,113,0.7,0.79,0.24
2190,Iron Blade,Warm Sky,metal,intense,0.87,171,0.11,0.4,0.01
2191,Suspended Ocean,Open Signal,ambient,relaxed,0.16,58,0.55,0.33,0.88
2192,Hyper Oscillator,Neon Forest,synthwave,nostalgic,0.55,104,0.65,0.86,0.06
2193,Transistor Frequency,Radiant Star,synthwave,euphoric,0.56,91,0.7,0.64,0.09
2194,Sweet Groove,Prism Ensemble,r&b,moody,0.64,91,0.86,0.9,0.23
2195,Wrath Reckoning,Quiet Echo,metal,angry,0.98,154,0.18,0.47,0.08
2196,Zenith Floor,Sinking Sun,edm,intense,0.9,125,0.86,0.95,0.08
2197,Wintry Symphony,Dusk Sky,classical,nostalgic,0.45,105,0.69,0.14,0.97
2198,Wistful Illusion,Wide Mirror,dream pop,melancholic,0.7,86,0.61,0.55,0.64
2199,Quiet Wonder,Young Stone,indie pop,nostalgic,0.64,111,0.76,0.72,0.54
2200,Digital Night,Storm Beacon,synthwave,euphoric,0.74,97,0.42,0.72,0.21
2201,Golden Fog,Smoke Stone,lofi,melancholic,0.53,94,0.6,0.44,0.91
2202,Obliterating Wrath,Vivid Engine,metal,confident,0.93,182,0.29,0.43,0.07
2203,Longing Vision,Light Initiative,soul,happy,0.49,71,0.62,0.75,0.37
2204,Vast Cascade,Worn Tower,ambient,peaceful,0.23,61,0.78,0.4,0.74
2205,Rising Cipher,New Forest,hip-hop,happy,0.95,101,0.42,0.72,0.03
2206,Bass Synthesis,Deep Candle,edm,confident,0.94,124,0.95,0.86,0.07
2207,Muddy Ramble,Distant Society,blues,melancholic,0.29,63,0.17,0.51,0.81
2208,Old Bonfire,Soft Assembly,country,joyful,0.71,104,0.67,0.74,0.75
2209,Soft Avenue,Stone Laboratory,jazz,confident,0.54,73,0.68,0.48,0.89
2210,Linen Aisle,Sharp Sun,lofi,nostalgic,0.53,64,0.62,0.47,0.92
2211,Steel Perdition,Free Chorus,metal,angry,0.94,159,0.24,0.4,0.01
2212,Smooth Soul,Quiet Archive,soul,happy,0.47,93,0.64,0.61,0.56
2213,Surge Momentum,Raw Harmony,edm,euphoric,0.94,140,0.7,0.81,0.03
2214,True Sky,Solar Sound,country,melancholic,0.57,92,0.79,0.52,0.88
2215,Velvet Magic,Open River,r&b,confident,0.72,77,0.91,0.66,0.35
2216,Shattered Thunder,Found Creek,rock,angry,0.77,120,0.31,0.68,0.23
2217,Blast Modulation,Distant Ensemble,edm,confident,0.8,137,0.79,0.8,0.08
2218,Breezy Love,Paper Fire,reggae,joyful,0.64,96,0.81,0.67,0.72
2219,Howling Shutdown,Blazing Pulse,rock,confident,0.74,162,0.34,0.66,0.24
2220,Silk Wave,Chrome Rain,r&b,happy,0.81,68,0.78,0.64,0.56
2221,Bright Space,Copper Chorus,indie pop,melancholic,0.53,98,0.68,0.83,0.27
2222,Wrathful Assault,Dusk Network,metal,confident,0.87,161,0.12,0.53,0.05
2223,Blazing Heart,Old Silence,pop,happy,0.87,118,0.93,0.69,0.13
2224,Sleepy Window,Mosaic Forest,lofi,nostalgic,0.23,71,0.61,0.51,0.67
2225,Fast Broadcast,Ash Chorus,pop,nostalgic,0.76,115,0.84,0.87,0.04
2226,Whispered Memory,Vivid Cloud,dream pop,romantic,0.38,116,0.58,0.74,0.46
2227,Ancient Spirit,Zenith Noise,reggae,relaxed,0.65,74,0.75,0.9,0.65
2228,Dreamy Murmur,True Sound,dream pop,peaceful,0.51,104,0.72,0.62,0.5
2229,Sunrise Night,Rising Collective,pop,happy,0.83,137,0.65,0.92,0.32
2230,Surge Surge,Cobalt Circuit,edm,happy,0.95,144,0.66,0.86,0.03
2231,Sunset Town,Iron Window,country,melancholic,0.46,122,0.6,0.69,0.65
2232,Apex Floor,New Sea,edm,euphoric,0.89,137,0.75,0.85,0.05
2233,Vibrant Wave,Indigo Fog,pop,happy,0.72,102,0.91,0.83,0.29
2234,Delicate Ballade,Sinking Project,classical,romantic,0.49,86,0.56,0.1,0.94
2235,Snarling Wire,Lunar Garden,rock,confident,0.85,153,0.67,0.42,0.26
2236,Calm Song,Stone Sound,indie pop,joyful,0.59,117,0.7,0.7,0.16
2237,Vibrant Weekend,Glowing River,pop,joyful,0.71,98,0.84,0.84,0.03
2238,Crown Game,Old Desert,hip-hop,happy,0.64,91,0.7,0.76,0.05
2239,Pastoral Waltz,Soaring Circuit,classical,romantic,0.41,99,0.75,0.21,0.96
2240,Retro Oscillation,Haze Lantern,synthwave,intense,0.68,117,0.7,0.79,0.1
2241,Gentle Sonata,Paper Groove,classical,focused,0.5,76,0.75,0.38,0.84
2242,Broken Wall,Blazing Collective,rock,intense,0.91,156,0.41,0.65,0.16
2243,Boost Sequence,Smoke Sky,edm,happy,0.96,158,0.9,0.87,0.02
2244,True Joy,Sinking Star,soul,happy,0.31,86,0.5,0.63,0.42
2245,Island Overstanding,Solar Flow,reggae,peaceful,0.7,75,0.9,0.89,0.57
2246,Slow Cadence,Amber Flame,jazz,melancholic,0.42,74,0.62,0.47,0.62
2247,Distant Haze,Sharp Pond,dream pop,nostalgic,0.45,75,0.58,0.57,0.33
2248,Warm Improvisation,Bright Stone,jazz,moody,0.37,90,0.59,0.6,0.64
2249,Chaos Judgment,Changing Flame,metal,angry,0.86,187,0.21,0.7,0.08
2250,Sparkling City,Glowing Keys,pop,nostalgic,0.81,125,0.96,0.95,0.33
2251,Raging Damnation,Golden Ensemble,metal,angry,0.88,156,0.35,0.53,0.06
2252,Fragile Memory,Ash Agency,dream pop,peaceful,0.34,83,0.81,0.75,0.59
2253,Genuine Flame,Slow Melody,soul,melancholic,0.66,101,0.5,0.56,0.37
2254,Soul Tenderness,Dawn Voltage,r&b,happy,0.76,75,0.81,0.8,0.42
2255,Slow Passage,Faded Melody,jazz,relaxed,0.35,105,0.85,0.51,0.87
2256,Obliterating Tribulation,Old Coalition,metal,angry,0.89,164,0.27,0.44,0.08
2257,Cathode Protocol,Haze Lantern,synthwave,nostalgic,0.8,87,0.57,0.67,0.32
2258,Raging Thunder,Midnight Tower,rock,confident,0.8,131,0.7,0.6,0.04
2259,Young Heart,Rising Creek,indie pop,romantic,0.81,97,0.68,0.65,0.3
2260,Grinding Siege,Soft Society,metal,confident,0.94,140,0.17,0.7,0.02
2261,Distant Journal,Dusk Voltage,lofi,focused,0.28,85,0.75,0.63,0.67
2262,Amber Cadenza,Light Shore,jazz,moody,0.35,74,0.63,0.65,0.85
2263,Blinding Anthem,Bright Creek,pop,happy,0.94,126,0.62,0.83,0.05
2264,Death Siege,Bold Storm,metal,angry,0.94,186,0.21,0.58,0.02
2265,Cascading Fever,Turning Sound,pop,euphoric,0.93,115,0.63,0.86,0.18
2266,Soul Devotion,Open Lantern,r&b,moody,0.64,66,0.86,0.75,0.27
2267,Fast Anthem,Orbit Reef,pop,confident,0.84,123,0.93,0.9,0.36
2268,Electric Manifesto,Wild Storm,rock,moody,0.89,131,0.27,0.75,0.28
2269,Honest Sway,New Stone,soul,nostalgic,0.55,105,0.67,0.51,0.67
2270,Simple Road,Distant System,country,happy,0.42,106,0.84,0.64,0.58
2271,Deep Groove,Hollow Ocean,jazz,moody,0.56,107,0.76,0.71,0.89
